phtips,22-Feb-17,Gold Coast Australia,5,Airport Crown Plaza,We had a 12 hour stopover so we booked this hotel as due to an airline change we had to collect our luggage. Customs took less than 5 minutes to get through and the hotel is connected to the terminal and just a short stroll. The rooms are beautifully appointed and very comfortable and despite being next to the airport...
CraigJH,22-Feb-17,Brisbane,4,Great location,Fewer things in travel are less exciting than airport hotels. That said the recent addition of many hotels to the actual airport terminals has definitely been a step forward and Crowne Plaza is a great example of that.The hotel is attached to Change Terminal 3 with Terminals 1 and 2 also easily accessible. The hotel also sits on top...
Mitch C,21-Feb-17,Melbourne Australia,5,Great airport hotel!,Arrived late last night. Staff friendly and efficient. Rooms are well appointed for an airport hotel and are infinitely better than what is offered in the transit hotel within the terminals. Breakfast was also quite good and had a very decent spread. Checkout was smooth as well. Well located for T3 arrivals and departures but a bit of a walk...
Leekayetee,21-Feb-17,Waikato Region New Zealand,5,Airport hotel - quality unsurpassed,We stayed in this hotel en route from Indonesia back to Auckland. The standard of the rooms was outstanding. They are compact but ingeniously designed. The hotel is close to all airport amenities and makes travelling stress free. The swimming pool is beautiful with plants growing in garden islands with in the pool making for fun hide and seek for...
SimBuc,21-Feb-17,Brighton United Kingdom,4,A great airport hotel....,Stayed for one night at the end of an eight day trip to Singapore (from the UK). Rest of my family / friends had already departed so was on my own.Check in staff werent the friendliest (compare to the two other hotels Id stay in that past week) - I checked in early (circa 9am) but my runway-view room...
iris m,20-Feb-17,Auchterarder United Kingdom,5,Great airport stop.....first class.,This is an ideal hotel which you can walk to or take the train to Terminal 2  post an international flight from Terminal 3. Very modern well appointed check in was welcoming and very smooth. The concierge  Benjamin is the best I have ever seen and a great ambassador for Crowne Plaza. He is super efficient professional with...
Greg C,19-Feb-17,Canberra Australia,5,Outstanding airport hotel,I am not one to really get too excited about airport hotels but this one deserves a review because it is so good. It has everything you expect from an airport hotel but its the little things that make it a class above most of them - the rooms are a decent size and incredibly well fitted out for luggage...
cwright1989,19-Feb-17,null,4,Lovely stopover hotel,Stayed for two nights on our way home from bali as have a late flight in.The hotel is of a standard to be expected of a Crowne plaza clean top quality and great rooms.We had a view across the airport with floor to ceiling windows (plane enthusiasts would love it). There was an outdoor pool that dis look...
jfoote,18-Feb-17,Sacramento California,5,Excellent Hotel for Layover in Singapore,The Crowne Plaza in Terminal 3 of Changi Airport is an excellent hotel and is seamlessly connected to Terminal 3 with the other three terminals available through the Skytrain. Having stayed an extra night due to a flight cancellation it is easy to see why Changi is rated as the best airport in the world. The space openness shops and...
John S,18-Feb-17,Camano Island Washington,4,Jsharp,Cant say enough about the friendly and helpful staff they helped us in so many ways arranged a taxi on the morning of my flight as the train was not running at 4:00am and paid for it weighed our bags to insure us we were under weight for the flight as we were just finishing a 45 day tour around...
JRhecel,17-Feb-17,null,4,Best hotel,The noise of the nearby airplanes going back and forth doesnt disturb you because the hotel feels so relaxing and comfortable. The hotel staff are so friendly and accommodating to the costumer and the hotel have good food.
Alson_Teo,16-Feb-17,Singapore Singapore,5,Flying High Crowne Plaza Changi Airport!,Love this hotel! At first we were concern about the noise because we asked for a room with a runway view but unless you are a really light sleeper the “noise” should not bother you. It feels so relaxing lazing on the bed watching the planes landing and taking off. Check-in was a breeze and we were warmly welcome at...
Patrick J,16-Feb-17,Sarasota,4,Good Stopover hotel,Very convenient located in Terminal 3 but also accessible from Terminal 2. Good floor layout. Nice rooms but noisy all night from a constant knocking. Concierge staff very helpful.Would stay again but would request different room
DanFreeman,16-Feb-17,Evesham United Kingdom,5,Fantastic overnight stop,Theres not a lot to say really - this is a very good hotel let alone an airport hotel.The staff were all great really friendly.The room was a really good size clean and really comfortable.The breakfast was amazing with lots of traditional Western foods and local too. With fruit and cereals too.Its easy to get to...
Lance E M,16-Feb-17,Ultimo,1,Poo stains in bed,I was very disappointed in the room and its dirty condition.I arrived at 11pm and just wanted to sleep and pulled the sheets back to find poo on the sheets.The bed had obviously been remade in that condition leading only to what one would assume is that the sheets are not changed after each guest.I was moved...
gsrs,16-Feb-17,usa,4,Convenient Stay At Airport,The airport offers day rooms for 6 hour stays; if you want to stay longer and do not want to go into the city the Crowne Plaza is a convenient alternative. The rooms are small but adequate; this hotel is similar to many others from the same chain
Marc W,15-Feb-17,Rochester United Kingdom,5,An oasis of calm in the bustle of an international airport,In short fabulous! Staff were friendly and helpful accommodation was excellent and on the second occasion I stayed here even managed to secure a smoking room what a pleasant surprise. Highly recommended.
Lawrence C,15-Feb-17,Sydney Australia,4,Great airport hotel,We chose to stay here due to early morning transit we had to make. Closely connected to T3 (about 5 mins walk from lobby) yet T2 is approx 15 mins walk (be aware the hotel says only 5 mins walk to T2 but this is not true). The room is spacious bright airy & beautiful. Shame that we stayed for...
Ken P,14-Feb-17,San Diego United States,4,Airbus 380 outside your window and you cant hear it! Practical showing wear convenient,Love this hotel being connected to the terminal for convenience. Great view of runway/tarmac if you can get it. Staff was pleasant but now forthcoming. Seemed like they were just getting the job done and not being as thoughtful as other hotels in the region. Rooms are very practical with plenty of space for luggage. Great space in the rooms...
Mark B,14-Feb-17,Howey in the Hills Florida,3,Was it too hard to clean the room properly?,Arrived very early am into Singapore changai airport.The hotel let me check-in at 6am?Room was dirty and bedding stained?Hotel gave me 20% discount and comp breakfast.The other reviews I read were so Good of this place.Room was re cleaned at lunch time.$300.00 for one night. Not happy.
cachecacher,14-Feb-17,London United Kingdom,3,Very good but pricey,For transit travellers a good sleep is most important and this crowne plaza offers just that. Well to some extent as Ill explain.First off it is not exactly a transit hotel as you would have to exit immigration to get to it but its close enough located just a few minutes walk within terminal 3 (and a few more...
I1456CMamira,14-Feb-17,Jeddah Saudi Arabia,5,Best Hotel in Singapore Airport,Friendly people very quit rooms best swimming pool and views you can see the runway from your room best cafe available in this hotel would recommend to anyone travelling or transiting Singapore attached to terminal 3
Giaarul,14-Feb-17,Singapore,4,Relaxing Stay,Lovely façade and welcoming lobby. Check-in was efficient but it was rather crowded on the day we check-out hence it took a little longer than expected. Good to make provision for such delay if you are trying to catch a flight out.Breakfast at Azur was ample loved the steamed egg white very light and flavourful a good choice over...
wazza71,13-Feb-17,Perth Australia,5,Great Hotel for quick stays.,Husband and I chose to stay a night in Singapore after a cruise before flying home the next day. We booked a room on the runway and it was awesome .... kept my husband entertained for hours!!? Everything about the Hotel was perfect- as you would expect for Crowne - loved the concept and open style walk ways to rooms...
VinceDarwin,13-Feb-17,Darwin,4,5th Visit ,My fifth visit to this fabulous hotel - the worlds best airport hotel thats Ive seen.This time they put me in the new Jewel wing. These rooms are smaller than Ive had previously so it last a star from the usual 5-stars. But that aside it was perfection personified. Extremely professional flexible service and a largely perfect modern room...
Bill S,13-Feb-17,null,5,Excellent hotel at the airport ,This is an ideal airport hotel you can push your luggage straight out of Changi Airport Terminal 3. It is quite clean good food and excellent services such as laundry.The bad news is that the check-in and check-out process is quite slow for no obvious reason.
flyaarmy,12-Feb-17,Fort Worth Texas,5,You wont believe you are at the Airport,WOW ~We stayed here for the Day waiting for our 0445 Departure the next day I LOVED IT Never felt like I was at an Airport Had a Wonderful Resort-ie Vibe ~ but so confident to the Metro Shopping Restaurants & A Grocery Store!I Loved my Room Loved the Bathroom Loved the Pool Loved the Executive Lounge &...
scyang2,11-Feb-17,null,1,False emergency,False emergency alarm past midnight. No fire warden in sight throughout the evacuation despite of the announcement. Internet hotel phone and tv not working after the emergency was called off. Even the land line could not get through.
sammi999,11-Feb-17,Dorset United Kingdom,5,Fabulous hotel,Only stayed here for 1 night on a stopover. Hotel was in a perfect location for this a short walk from terminal 3 with shops and restaurants right on your doorstep. We didnt venture into Singapore as we had done this on the way out but it is only a 30 bus/ cab ride away. The room was fantastic spacious...
peterw_in_Wakefield,10-Feb-17,wakefield,5,Had a day room great place to chill out,Decided to have a day room on the day we flew out as it was so hot and humid and what a good decision. Lovely room with all amenities very comfortable bed great pool area. Staff were friendly and helpful. Food was expensive in hotel but only a 5 minute walk into the airport where lots of cheaper places to...
brnrd_h,10-Feb-17,Singapore Singapore,4,Away from Bustle and Hustle of City,A total relaxed and pampered stay. There are many things to do; shopping many and varied F & B outlets to dine and lazed in hotel whether in comprehensive gym or relaxed swimming pool. Special mention of executive lounge staff who were friendly accommodating and served with passion and smiles. Will be back again for another weekend staycation.
Jakob S,09-Feb-17,null,4,In the middle of the airport ,We had one night at this hotel before leaving Singapore. It was nice to walk directly into the airport after having a nice breakfast. We could hear the planes from our room but thats expected when your in the middle of the airport. The room was nice and we had room service (the burger is quite good).
RianaDhaka,09-Feb-17,Dhaka City Bangladesh,5,Great airport hotel,We stayed here for a 8 hours transit and it was a different experience of an airport hotel. We were upgraded to a suite right away as we were IHG Spire Elite Members. The room was huge compared to rooms we usually get in Singapore. It had two toilets one with shower. The breakfast had too many choices. Had something...
Judy8688,08-Feb-17,LondonUK,5,Great airport hotel,Airport hotels are normally soulless places with nothing attractive about them at all. The crowne plaza was a delight. Stunning rooms with White Stuff products in the bathroom. It couldnt be closer to terminal 3. Great service too from the bell boy and the check in desk. We slept wonderfully after a long flight from London.Would definitely recommend.
lisally2017,08-Feb-17,Port Douglas Australia,1,A disaster!,Ok I dont normally write bad reviews. Especially for airport hotels. All you need is a quiet dark room and some peace before your next flight.We arrived about 2 am. We were the only people waiting to check in. There were 3 people behind the check in desk. Not one of them looked up to help us. Not even...
JuliaGil,08-Feb-17,Sao Paulo SP,5,The best option if you need to stay close to the Airport,You dont need to leave the airport: its right in front of the sky train terminal 3 gates.The room was huge and very fancy for a hotel inside the airport. Breakfast was excellent. Super comfy bed. There is a pool several restaurants totally worth it.
Harry K,07-Feb-17,London United Kingdom,4,Great stopover to Australia,WE flew to Melbourne via Singapore as we didnt want to do it in one go. We only stayed overnight. Heathrow to Singapore - we arrived in the evening (going both ways - return from Brisbane). Luggage goes straight through so all you need is your carry on. The hotel is actually within or connected to the airport so you...
SydneyLin2010,07-Feb-17,null,5,excellent rest after a late night arrival ,Checked into hotel after arriving into Changi Airport past midnight on 7 Feb.Hotel is an easy walk from Terminal 2.Stayed at Jewel Wing. Room is clean cosy with bath tub by the window. Nice geranium toilet amenities! Will be back.....Melinde L
IDC637,06-Feb-17,Washington Dc,5,A Wonderful Oasis at Changi Airport,This a wonderful property right in the middle of the busy Changi Airport. Its great place to stay specially if you have been to Singapore before and need a place to sleep with an early flight out of there. It is within walking distance of the terminals and besides it is like an oasis or a resort with nice rooms...
KC_Wilson_NZ,06-Feb-17,Auckalnd,5,Amazing Suite,We upgraded our room to a suite upon arrival and we were not disappointed. The suite was huge!!! Almost too big for my partner and I. Location is not too bad either. Only spent 20.00SGD to Singapore flyer. Very convenient airport hotel. We will definitely stay again and in fact we prefer this hotel in the future due to convenience.
A TripAdvisor Member,06-Feb-17,null,3,A little disappointed,The room itself was very nice and we were able to pay a little extra for a rollaway for our 21 year old son as we were only there overnight. The only universal power plug in the main area did not work and the pillows were terrible. Woke up with a very very sore shoulder. In room dining was quite...
jplendon,05-Feb-17,Cancun Mexico,4,One night stopover in Singapore,Flew in from London after a 13hour flight and connecting flight was scheduled for next day so transferred on the shuttle from Terminal 1 to 3 very easily and checked in to the Crown Plaza for one night.Conveniently located large room clean and modern. Highly recommended for short stopover.
Keith P,05-Feb-17,Winter Park Florida,4,Airport convenience ,If you have a brief stay in Singapore and your flight is early I suggest staying here. The hotel is sophisticated but take note that albeit an interior hotel the hallways are open to the elements and let me remind you that humidity is extremely high in Singapore. The room was comfortable and most of the airport noises were not...
Xanerin,05-Feb-17,Alice Springs Australia,5,Another Fabulous Stay,This hotel would have to be the best hotel I have ever stayed at. Every amenity beautifully appointed room fabulous bed and the list goes on. Highly recommend this wonderful place. Breakfast also was amazing. Cant wait to return to this hotel.
FreoCreatures,05-Feb-17,Perth Australia,5,Couldnt Fault it!,An extended very basic stay in Sri Lanka coupled with a 3.3am arrival into Singapore meant we were absolutely longing for a touch of luxury. The Crowne Plaza Changi is easily accessed as it is attached to Terminal 3. Even at this ungodly hour two friendly young ladies at Reception checked us in with a smile and were even able...
steveslats,05-Feb-17,Swindon United Kingdom,5,Perfect Airport Hotel,I am sat at the poolside as I write this review !So Happy our travel agent chose this hotel. We disembarked a Celebrity cruise at 9am & got to the hotel for 10am pleased to find our room ready for us although check in was not till 11. Very friendly check in & extremely helpful concierge. We were taken...
Nahuel P,05-Feb-17,Brisbane ,5,Highly recommended ,I stayed one night due to I had a a connection next day. The business room is very comfy and I really want to leave the hotel :). I recommended to chose the continental breakfast its a buffet style. I recommend this hotel if you need to stay a night for get a connection flight.
michaelkP3149LN,05-Feb-17,Vancouver Canada,5,An excellent and reassuring hotel,For most of us staying at Singapore airport is a result of significant travel. Again on our way from Bali to Vancouver this was the case again arriving quite late. Very re-assuring to see all was in order with our reservation the room up to the usual high standard with efficient staff. Whether going or coming on our route the...
Anthony Y,04-Feb-17,null,5,Its called the best airport hotel for a reason,Its called the best airport hotel in the world for a reason. Spend there for two nights because need to catch an early flight to Melbourne. The room is spacious and goes toe to toe with other five star hotels. My room has a view facing the pool that has been decorated like a tropical rainforest. Needless to say I...
KACommuter,04-Feb-17,Hong Kong China,3,Comfortable convenience,Stayed here for a night last month as I had an early flight (7:15) on a LCC with check-in bags otherwise I would simply stay in the city and leave for the airport 20 mins earlier. Check-in was appallingly slow given there were only 3 customers ahead of me. The front desk receptionist was completely stuck with a couple and...
Travelingflamingo55,04-Feb-17,San Antonio Texas,5,Perfect place to stay,We booked for one night after a 12 day cruise. This hotel is connected by a ramp from the lobby to the airport and the MRT. Has an extended hours (5:30-8:30) complimentary full meal happy hour (wine beer & liquor) and breakfast for Club Floor which I highly recommend given the cost of eating out in Singapore. Luggage carts are...
MikeF32,04-Feb-17,Washington,5,Very friendly and professional services and great rooms,Very friendly (early) check in and follow up. Also the concierge arranged for us to get to terminal one before the sky train started up. Very large and well appointed room with excellent sound insulation. Easy access to the MTR - will definitely stay here again.
MelJ722,04-Feb-17,null,5,Just Excellent,Great spacious room - luxurious bathroom. Service just excellent - customer focused and nothing too much trouble. The outdoor swimming pool was much enjoyed by my family early in the morning. Breakfast is phenomenal. This place is standard!
AxelWinter952,03-Feb-17,Bangkok Thailand,3,Modern Hotel and new rooms mixed service,The good: New modern hotel I stayed at the newly build annex and had a great business room. Walking distance to Terminal 3 (with train to T1 and 2).The bad: No hot water too cold air condition - had to turn it off. Terrible breakfast! (Albeit chinese lunch is superb and good price). Have breakfast at the Terminal 3...
Russ111222,03-Feb-17,Auckland New Zealand,5,A family friendly business hotel,Our family had 2 rooms for a night ahead of an early flight back to NZ.Check in was without a hitch and they let us check in early - around lunchtime.Rooms were spacious clean and had a somewhat mass produced style. The bathrooms were excellent with large shower cubicle and bath.The pool is beautifully designed with annexes...
Christa C,02-Feb-17,Sitiawan Malaysia,4,Narrow room but nicely decorated and furnished,The room was narrow and long but the design was well thought out with every nook and cranny well utilised. My husband and I love the spacious bathroom which comes with a tub. There was even a small lounge area with sofa seats for you to entertain guests.The bed was very comfortable and the halls quiet. We walked to terminal...
Vincent N,01-Feb-17,null,4,Stayvacation,Had always wonder how this hotel is like everyone I drive by. Finally book one time to stay.Upgrade to runway view thinking kind of special from normal. Lucky they allocate the top most level which we can see clearly and enjoy. Room was cosy and nice and we like the customized display of your name on the TV start...
dfisch891,01-Feb-17,London UK/Detroit MI USA,2,Dirty noisy and poor customer service...but a great wake-up service!,I stayed at this property for one night ahead of an early flight out of Singapore. My thoughts...Pros:- Great location.- Great wake-up service (more details below).Cons:- The room wasnt clean. There was dust everywhere (cakes of it in some instances) sticky end table surfaces etc.- Other reviewers were correct about the noise. You can...
Hburn10,31-Jan-17,Singapore,3,Good staycation choice but poor club lounge service,It was a much anticipated CNY staycation especially so when we booked a suite for 3pax (3rd pax at an extra charge).PRICE - $375.39++ per night for a king bed suite (non smoking) + $80++ per night for the 3rd person charge = $1072 for the 2night stay in total. This is under the YOUR RATE by IHG® Rewards...
Rin M,31-Jan-17,Singapore,4,Convenient luxury hotel,Booked 4 rooms for a family staycation over the CNY. Were assigned 2 rooms at the old wing and another 2 at the Jewel wing (newer). While the room is quite small and a little bit narrow l super love the spacious bathroom in my room at the Jewel wing! Amenities were provided and sufficient.The bed and pillows were...
Deefaianz D,30-Jan-17,null,5,Excellent service this time round,Well... we all know that Crowne plaza hotel has an amazing facilities beautiful and comfortable rooms. 5 star for the room and facilities for sure.My last review on them wasnt amazing but because my son just loves the hotel room because he gets an exclusive view of the runway I decided to give them another chance.I would like...
Andy H,29-Jan-17,Tonbridge United Kingdom,4,Day room whilst in transit,A good way to relax and freshen up on a trip to Australia. Landed early am and was in the room within 20 mins. Nice rooms and great service all at reasonable price. There are a number of restaurants in the hotel although I didnt try them.
A TripAdvisor Member,29-Jan-17,null,5,Excellent,We had an excellent stay at the hotel the room was great even with an extra bed amenities were excellent for a short stop over. The check in/ out process was very quick and efficient the other hotel staff were so excellent. The breakfast had an excellent choice of cuisine my boys loved the pool to cool down also. The...
janineor,29-Jan-17,Adelaide Australia,4,Great for a Stop-over,We recently stayed 1 night before an early flight and the location was great with an easy walk from where we disembarked. It was also an easy walk to Terminal 2 for our outward flight. Room was nice although it was a long walk from the lobby and we werent given clear instructions on how to get to our room...
Mike D,28-Jan-17,Spaxton United Kingdom,4,Good overnigth stay,Can only say that when we arrived at 2.30am the reception staff were excellent. We were in our room within 5 mins. The whole hotel was clean tidy and well kept. What would you expect from the IHG group. A late checkout was offered but we did not need it as we were only going to the Intercontinental hotel in...
ivan m,28-Jan-17,Galway Ireland,5,Excellent for a stopover ,Very nice hotel. Fantastic selection of breakfast food. Nice room and friendly staff. Very easy to get to. Direct access from T3 and skytrain runs between terminals so you dont even need to go outside to get there.
Keith G,27-Jan-17,York United Kingdom,5,Fantastic ,Stayed in the CP in Chengi Airport on a stop-over from New Zealand to London. What a fantastic choice of hotel!Located within T3 of the airport it was short stroll from arrivals and check-in was efficient and friendly.The room was great with modern decor and furniture. The beds were also comfortable.Breakfast in the buffet was very good...
723shamirs,27-Jan-17,null,5,Staycay on N.Y.E 2016,Very Fast check in..efficient front desk cso.the room is very spacious..and i mean it.room comes with a speaker for ur music bluetooth connection.a plus point there.. :) which i didnt expect.Super comfy bed and the pillow which can make u auto sleep.lol!!The only downside is theres no downside! how awesome is that?! definitely coming back here soon.Seeing is believing..worth...
Stumpy308,26-Jan-17,Sydney Australia,5,Very comfortable one night stay,By far the best airport hotel Ive ever stayed in. With the exception of the odd plane taking off in the distance one would have no idea they were at an airport. This felt more like a beachside resort. Clean spacious and comfortable rooms that are also soundproofed so those planes are literally a distant hum. I asked for a...
jelita,25-Jan-17,Lake Charles Louisiana,5,Great service very nice hotel.,We only stayed a night after spent our afternoon at Universal Studio. The receptionist sent me a birthday cake! a delicious dark chocolate cake!!! This hotel adjacent to Changi Airport so you have a lot of restaurants to choose in the area (in the hotel or just right in the airport). Swimming pool is nice. Btw one thing that surprised...
loulang,24-Jan-17,Nt,5,Great service great hotel!,This is my third review of this hotel and I still get impressed. We always stay here while in transit in Singapore. We were upgraded to a club room for being an IHG member and the room has its own Illy coffee machine with pods. There was a fruit and fruit bar tray delivered to the room too. I wanted...
leheath,24-Jan-17,Spokane Washington,5,Great for overnight in transit!,This hotel is clean quiet and well appointed. Surprisingly quiet given the location. Staff are friendly and helpful. Location is great for a short layover between flights and price was not unreasonable if you shop around. It is an easy walk or shuttle from any airport terminal and there are helpful signs to direct you both arriving and departing. I...
radarinoz,24-Jan-17,Newcastle Australia,4,Very comfortable and convenient hotel when in transit,We didnt have much time in Singapore so we decided to stay at this Crowne Plaza and we were very happy that we did.It is very easy to get to at the airport the staff were all very friendly and helpful and the room was very nice.After we checked in we just went and got the train to...
767ianl,23-Jan-17,null,4,A overnight stay for a red eye flight next day,I must say that this hotel is very well maintained and the staff were all friendly and professional. We requested a standard room and was given a club suite with early check ins and late check outs. A overall good experience except that we found shoe prints on our pillows in our room. The room was very big and well...
RandomFlair,23-Jan-17,Toronto Ontario Canada,4,Overnight in Transit,Being so close to the airport we could not believe how quiet it was. My wife was thrilled that there was a full-size tub which is not so common. Our room was small but it was all we needed as we were just passing through. Our in-room dining was surprisingly good and exceeded our expectations. Check-in was fast and we...
Singapore1704,22-Jan-17,Singapore,2,Disappointing and overpriced,My wife checked us in for a weekend birthday staycation getaway which was really sweet.We loved the expansive view of the airport runway.But as we stayed on we encountered one shortcoming after another.We appreciate that the hotel is meant for air Travellers who need a quick transit.However the hotel would invariably also attract Singapore residents looking...
Australiafrancophile,22-Jan-17,Australia,4,Rooms overlooking runway get plane noise!,I stayed one night for convenience before a morning flightbooked through booking.com in a deluxe double room and paid $282 Singapore dollars for two people including breakfast.Room 604 was a huge beautiful room with a gorgeous bathroom but it overlooked the runway and there was intrusive noise from planes ! I was disappointed because I had naively expected efficient...
haukyn,21-Jan-17,Wellington New Zealand,5,Excellent overnighter,I travel to & through Singapore reasonably often and have always travelled into the city for an overnight stop. What a mistake! This hotel is comfortable well-located to the airport and the room great. Occasional flight noise but not disturbing. And a great swimming pool in which to straighten out the kinks after a long-haul flight.
Evangelia K,21-Jan-17,null,5,Overnight stay while in Transit ,We stayed here as we had a 10 transit period between flights and didnt fancy entertaining our tired children overnight. Very very clean easy to get to comfortable bedding. Great bathroom. Would have loved to stay longer!
local130,21-Jan-17,Perth Australia,2,Disapointed,We stayed for a 1 night stop over in a one bedroom suite 8th level overlooking pool. We were grateful to be able to have occupation of the room as early as 9am and the room at first appeared lovely on inspection until I was in the lovely huge bath and looked up over head and saw that the whole...
Glenn R,21-Jan-17,null,5,Overnight on the way to Maldives,Great place to for 1 night in Singapore.Bed was EXCELLENT large king size bed with feather downe pillows and matching doona. Bathroom amenities also great as was the room size.Brekky was very good and even the coffee was good.Would DEFINITELY stay over here again.RegardsGlenn??
Prayanak,21-Jan-17,Bangkok Thailand,4,Convenient location,This hotel has the best location you can get if you want to be in the middle of Changi airport. If you arrive or leave from terminal 3 then you do not even need to walk outside to get there. From other terminals just take the monorail after you go through Customs.I got a room in the new wing...
Ron B,20-Jan-17,London United Kingdom,5,Luxury at the Airport,It has been a couple of years since I last stayed here and I had forgotten how good it is the attention to detail is amazing from the lovely pool to the superb large rooms nothing is missing it must be one of the top airport hotels in the world! Could not fault it.
Speedbirdaircrew,19-Jan-17,Southend-on-Sea United Kingdom,5,1 night stop to rest ,Stayed for one night before flying to Langkawi the next day. Very modern hotel up to high Singapore standards. Lovely beds and bathroom. Outdoor pool really nice to cool off in. Used the buffet restaurant for dinner and breakfast and has a vast selection to a high standard. Very easy to get to from any terminal from the airport via...
cbroo,19-Jan-17,USA,3,Modern with flaws,This is a modern well appointed hotel and is interconnected with terminal 3 (which is one of the main SQ terminals at Changi airport).. The rooms are nice bed is very good and the bathroom has all one needs. So location location  location...Their are some flaws. Check-in whilst efficient is not welcoming no hello no welcome nothing -...
Dave T,19-Jan-17,Perth Australia,5,Pure Luxury,A bit pricey at $240 a night but we have to say it was worth every penny massive room with en suite to die forgreat shower good service good selection for breakfast close to all amenities no complaints at all a real treat would go again.
Global_academic,18-Jan-17,Australia,2,Dont be fooled by offers of a room in the new wing,I stay at this hotel often. This time for the same price as the rooms I normally book I opted for one in the new wing. They are pokey and cheaply fitted out. The aircon is noisy and tge only window is in the bathroom. You cant even go to the toilet without drawing the blinds. Not happy at all.
MarynissenM,18-Jan-17,Sint-Pauwels Belgium,4,on the airport,very good.close to the airport actually in the airport.the max if you have a late fligth and you want a room to put the luggage and take a shower.very good breakfast as well. and the staff is more then happy to give you a dayroom
Hans-Smeets,18-Jan-17,Apeldoorn The Netherlands,4,13 hour layover,I was here for a 13 hour layover. You can book the hoyel for a minimum of 6 hours.Room was clean bed was good.To bad ik could only get a room at 9:30 am while i had landed already at 6 amI had not reserved in advance maybe that had something to do with it?
simon f,18-Jan-17,Melbourne Australia,4,Great transit hotel... better than most hotels in the city. Its actually in the airport and has a great pool.,Due to the my flight schedule I stayed at the CP Changi on two separate occassions within a week both overnight stays with late evening arrival and early morning departures.I used to stay here a lot more in the past as they used to upgrade IHG elite members to the suites if they were available but they stopped doing...
